name,mbid
Michael Jackson,f27ec8db-af05-4f36-916e-3d57f91ecf5e
Wolfgang Amadeus Mozart,b972f589-fb0e-474e-b64a-803b0364fa75
Charlie Chaplin,043eefc9-9d94-4d06-b6f3-93252fa52154
The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d
Rabindranath Tagore,13274b60-181b-431a-b049-b48560c58e2a
Marilyn Monroe,6e60deeb-a666-42c5-95cb-a5eada6bbbe5
Corbin Bleu,393e3b99-a8dc-497c-81e7-f41f4fb49244
Basshunter,255e2420-5b02-452b-9771-0512ebe78090
Elvis Presley,01809552-4f87-45b0-afff-2c6f0730a3be
Shakira,bf24ca37-25f4-4e34-9aec-460b94364cfc
Frédéric Chopin,09ff1fe8-d61c-4b98-bb82-18487c74d7b7
Marlene Dietrich,191cba6a-b83f-49ca-883c-02b20c7a9dd5
Mother Teresa,373d1cf8-a67b-4d59-bb47-d328cf6ccb41
Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848
The Carpenters,4580d83b-093e-4241-91fb-2dd71f5f1f3f
Madonna,79239441-bfd5-4981-a70c-55c3f15c1287
The Doors,9efff43b-3b29-4082-824e-bc82f646f93d
Bob Dylan,72c536dc-7137-4477-a521-567eeb840fa8
John Lennon,4d5447d7-c61c-4120-ba1b-d7f471d385b9
Pelé,736ce674-b38c-4c81-bdee-4c586a01f9cc
Justin Bieber,e0140a67-e4d1-4f13-8a01-364355bee46e
Freddie Mercury,022589ac-7177-460d-a178-9976cf70e29f
Freddie Mercury,03aba063-42f7-47c6-9974-6a6ab24a0b53
Selena Gomez,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3
Louis Armstrong,eea8a864-fcda-4602-9569-38ab446decd6
Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
Taylor Swift,20244d07-534f-4eff-b4d4-930878889970
Beyoncé,859d0860-d480-4efd-970c-c05d5f1776b8
Anna Netrebko,90cba256-80b2-464f-9d58-a877a3757d3a
Omar Khayyám,4e49f8fa-20b0-47c0-bc2c-37fe9e9e6221
Bob Marley,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360
ABBA,d87e52c5-bb8d-4da8-b941-9f4928627dc8
Thomas Mann,b6458172-8cd1-47c3-a8d3-2011dd96b4cf
Robin Williams,536e8e61-8040-40a1-8b35-a2c6996dc44f
Lana Del Rey,b7539c32-53e7-4908-bda3-81449c367da6
Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
Woody Allen,f7476fda-687e-4d11-a02e-cfb88558867d
Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c
Scarlett Johansson,0cc5ed91-eba3-4a5d-8a69-7638e0bf6495
