name,mbid,fma_track_count
Lonely Planet,,800
William Shakespeare,,241
James Patterson,,236
Who HQ,,175
Fodor's Travel Guides,,170
Nora Roberts,,163
Rough Guides,,156
Gertrude Chandler Warner,,150
Insight Guides,,145
Louis L'Amour,,135
Gooseberry Patch,,135
Danielle Steel,,133
Debbie Macomber,,127
R. L. Stine,,126
William W. Johnstone,,120
Stephen King,,111
Mercedes Lackey,,111
Rick Steves,,109
Terry Pratchett,,107
Ann M. Martin,,106
L. Ron Hubbard,,105
Piers Anthony,,98
Agatha Christie,,97
Mary Pope Osborne,,97
Harry Turtledove,,96
Dean Koontz,,92
Erin Hunter,,92
Bonnie Bryant,,92
Charles Dickens,,91
Roald Dahl,,90
Joyce Carol Oates,,90
Britannica Educational Publishing,,89
Various,,88
DK Eyewitness,,88
Stan Berenstain,,86
Jan Berenstain,,86
Carolyn Keene,,85
Anne McCaffrey,,82
Stuart Woods,,80
Philip K. Dick,,78
Rick Riordan,,78
Betty Crocker,,78
The Princeton Review,,77
Alan Dean Foster,,77
Heather Graham,,73
Franklin W. Dixon,,72
Henry James,,72
R.L. Stine,,71
Orson Scott Card,,71
V.C. Andrews,,69
Andre Norton,,69
Mark Twain,,67
Oscar Wilde,,67
Susan Mallery,,65
Victoria Charles,,65
Philip Roth,,64
Fern Michaels,,64
Ursula K. Le Guin,,63
Clive Cussler,,63
Simon R. Green,,63
Iris Johansen,,63
Kelley Armstrong,,61
Regis St Louis,,61
Charlaine Harris,,61
George R. R. Martin,,59
Virginia Woolf,,59
Dan Gutman,,59
Alex Archer,,59
Jack Higgins,,58
Bernard Cornwell,,58
Bruce B. Lawrence,,58
Megan Derr,,58
Thich Nhat Hanh,,57
Charles Tang,,57
David Weber,,57
Anthony Ham,,57
Caroline B. Cooney,,56
Margaret Weis,,56
Sandra Brown,,56
Princeton Review,,56
David Baldacci,,55
Sherrilyn Kenyon,,55
W.E.B. Griffin,,55
J.A. Johnstone,,55
Ben Bova,,55
Robert B. Parker,,55
Catherine Le Nevez,,55
Tony Abbott,,54
Edgar Allan Poe,,54
Anthony Horowitz,,54
Elmore Leonard,,54
