name,mbid
Podington Bear,2c15f704-d0f3-4175-80c4-97f395ad7d9a
Kosta T,15891
Ergo Phizmiz,8a0194ad-6b24-448b-a069-5e7baf2eb1dd
Blue Dot Sessions,57d8f0d0-146c-442b-91db-bed873223d1a
Lee Rosevere,fff239d3-b78a-4c2c-9e05-d8b08857149b
Jahzzar,0536f3c2-5484-47c4-b05c-bd30692f4e48
James Kibbie,437c5876-f406-45be-a3cc-e76d244ee497
Mr. & Mrs. Smith,6647a26b-bd94-4bc7-8769-7b1e7207a824
Ars Sonor,87fdd785-3c3e-439f-973f-8c6d4d5f5421
Zreen Toyz,ec0abf48-cfc5-46ce-8365-295444ce7c5b
Jared C. Balogh,4257066d-6f3e-4226-9143-5b8a9ae17b84
Steve Combs,ee04b05d-7190-4723-ba3d-368038478306
Derek Clegg,9243d9f4-c18e-4422-bd3f-98ca6295f9b9
Lezet,435440ed-3592-46ed-b31f-ec9939890462
Josh Woodward,b09c8a50-7bfa-434f-a2cf-f9bf9f6f91a5
OsO El roTo,4352
The Agrarians,44d34e0d-3679-40c8-b141-2f39321eb2e2
The Fucked Up Beat,241a05f8-8576-41fd-ac0a-442ddec2c20b
The Impossebulls,b034e706-419a-42a5-87fc-fa843ac31be2
Tha Silent Partner,d047a1fe-3f8b-45ff-92f5-855ff37c9658
The Polish Ambassador,e9787dd2-5857-4b51-8e59-a190a54820fc
Monplaisir,22472
Ketsa,6443
Salakapakka Sound System,becb76ae-627c-40a4-8cda-d339d21ad6d8
Glass Boy,0afadbf0-507e-43fe-8bfc-4c0afaec35cb
Anitek,a1630b32-a887-46fb-9c4c-6aae56d492a4
Cheese N Pot-C,6bf7f09a-829e-439c-9505-3a5bcd48c61f
jonas the plugexpert,5965
Lobo Loco,37dd2973-d750-48aa-9557-64652fcf7d32
David Szesztay,21616
Nonima,ac20cd1c-6c0f-4b7f-993c-11d0de3aa4aa
Jaan Patterson,802b2906-81b7-4940-8f7e-e99164d12634
Big Blood,63c5e98c-0b24-4939-ad8c-f6ed235b7980
Phemale,960ebb62-9209-462e-a763-d70c2cb7e073
U Can Unlearn Guitar,e1e670dd-9589-4699-a721-469cee925c14
Kevin MacLeod,8292bf44-2dd1-4bad-8019-276ec38f28e7
simon_mathewson,e4c8f501-3c76-4c81-a5c0-e50686d7c298
Kai Engel,aa55b20b-36d8-4093-84f3-c5c7942ff2c8
Mittimus,1640
Cullah,369b127b-ca39-4618-88f6-132f1bc8a27f
Richard Jonas,5ef5b8ec-98df-496f-b8d1-f91491a32513
Squire Tuck,19472
Scott Holmes,43ad772e-7a01-4b7f-83c7-64a3dfcc3084
Keshco,92228b8c-b851-4a15-b324-cced2f0fb482
johnny_ripper,cc6137ce-4ed9-4711-b775-b97c2e53db41
The Conet Project,433c0996-077c-4a28-9261-57858eb31832
Schemawound,04c0cd87-8f91-436e-99b4-5520a53bfe5e
Trans Atlantic Rage,6568f169-e0d9-42ff-bb52-cb2c7dfc0bf9
Elvis Herod,4c60914a-628f-4483-90fb-a1945863a73f
Oblivian Substanshall,a94ea428-91a3-40c8-a38e-e05b338937d6
Bauchamp,ee23f53c-45cb-4528-80fd-34d1b61b52eb
RÉGIS VICTOR,8aafd7b5-76df-42cf-bfcf-7e55ee4cf315
Circus Marcus,97d54a87-7c0f-4306-9cb0-f3b5fb86b7d7
THF Drenching,5118
Disco Missile,08c34398-d79e-40b8-928f-66f8a518762e
Monk Turner,817ec3ad-7ba2-451f-928b-cb15131cf5b0
Telegraphy,7a85c083-820b-4545-bf3a-5d42a08fc68a
Learning Music,ff901e96-122d-4623-90f8-926cf8bae13c
CM aka Creative,6fcdc0f1-ddd6-4adc-95be-adcd55a4166f
Section 27 Netlabel,8563
ODOR BABY,64c2e7b7-9447-4c80-9ac5-871e625d4ada
Benjamin Bret,7290
Welcome Wizard,2226
junior85,3dc6e2c0-2d8b-45b8-a7be-5b8f2ec4ed59
K. Sparks,ac7b11e9-b6c9-446a-8147-bf0c2c451810
Fortyone,975e9cd1-247d-4e21-b5b6-94b6551c601d
The Scallions,fc9df9c2-fb04-4804-b4e3-2efd01d6723a
