query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
Podington Bear,Podington Bear,2c15f704-d0f3-4175-80c4-97f395ad7d9a,606,586,0,20,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Kosta T,Kosta T,15891,551,551,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Ergo Phizmiz,Ergo Phizmiz,8a0194ad-6b24-448b-a069-5e7baf2eb1dd,567,539,18,10,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Blue Dot Sessions,Blue Dot Sessions,57d8f0d0-146c-442b-91db-bed873223d1a,566,410,150,6,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Lee Rosevere,Lee Rosevere,fff239d3-b78a-4c2c-9e05-d8b08857149b,394,368,0,26,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Jahzzar,Jahzzar,0536f3c2-5484-47c4-b05c-bd30692f4e48,329,329,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
James Kibbie,James Kibbie,437c5876-f406-45be-a3cc-e76d244ee497,319,319,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Mr. & Mrs. Smith,Mr. & Mrs. Smith,6647a26b-bd94-4bc7-8769-7b1e7207a824,317,317,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Ars Sonor,Ars Sonor,87fdd785-3c3e-439f-973f-8c6d4d5f5421,294,294,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Zreen Toyz,Zreen Toyz,ec0abf48-cfc5-46ce-8365-295444ce7c5b,281,281,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Jared C. Balogh,Jared C. Balogh,4257066d-6f3e-4226-9143-5b8a9ae17b84,262,262,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Steve Combs,Steve Combs,ee04b05d-7190-4723-ba3d-368038478306,257,257,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Derek Clegg,Derek Clegg,9243d9f4-c18e-4422-bd3f-98ca6295f9b9,256,256,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Lezet,Lezet,435440ed-3592-46ed-b31f-ec9939890462,249,249,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Josh Woodward,Josh Woodward,b09c8a50-7bfa-434f-a2cf-f9bf9f6f91a5,413,244,149,20,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
OsO El roTo,OsO El roTo,4352,226,226,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Agrarians,The Agrarians,44d34e0d-3679-40c8-b141-2f39321eb2e2,223,223,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Fucked Up Beat,The Fucked Up Beat,241a05f8-8576-41fd-ac0a-442ddec2c20b,219,219,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Impossebulls,The Impossebulls,b034e706-419a-42a5-87fc-fa843ac31be2,205,205,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Tha Silent Partner,Tha Silent Partner,d047a1fe-3f8b-45ff-92f5-855ff37c9658,190,190,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Polish Ambassador,The Polish Ambassador,e9787dd2-5857-4b51-8e59-a190a54820fc,381,185,172,24,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Monplaisir,Monplaisir,22472,184,184,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Ketsa,Ketsa,6443,180,180,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Salakapakka Sound System,Salakapakka Sound System,becb76ae-627c-40a4-8cda-d339d21ad6d8,171,171,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Glass Boy,Glass Boy,0afadbf0-507e-43fe-8bfc-4c0afaec35cb,170,170,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Anitek,Anitek,a1630b32-a887-46fb-9c4c-6aae56d492a4,338,170,151,17,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Cheese N Pot-C,Cheese N Pot-C,6bf7f09a-829e-439c-9505-3a5bcd48c61f,167,167,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
jonas the plugexpert,jonas the plugexpert,5965,164,164,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Lobo Loco,Lobo Loco,37dd2973-d750-48aa-9557-64652fcf7d32,310,161,149,0,0,free-music-archive;laion-disco-12m,free-music-archive,Google;Stability AI,USED_BY
David Szesztay,David Szesztay,21616,158,158,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Nonima,Nonima,ac20cd1c-6c0f-4b7f-993c-11d0de3aa4aa,160,160,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Jaan Patterson,Jaan Patterson,802b2906-81b7-4940-8f7e-e99164d12634,155,155,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Big Blood,Big Blood,63c5e98c-0b24-4939-ad8c-f6ed235b7980,163,153,1,9,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Phemale,Phemale,960ebb62-9209-462e-a763-d70c2cb7e073,153,153,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
U Can Unlearn Guitar,U Can Unlearn Guitar,e1e670dd-9589-4699-a721-469cee925c14,149,149,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Kevin MacLeod,Kevin MacLeod,8292bf44-2dd1-4bad-8019-276ec38f28e7,307,148,150,9,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
simon_mathewson,simon_mathewson,e4c8f501-3c76-4c81-a5c0-e50686d7c298,161,161,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Kai Engel,Kai Engel,aa55b20b-36d8-4093-84f3-c5c7942ff2c8,292,140,150,2,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Mittimus,Mittimus,1640,144,144,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Cullah,Cullah,369b127b-ca39-4618-88f6-132f1bc8a27f,151,135,0,16,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Richard Jonas,Richard Jonas,5ef5b8ec-98df-496f-b8d1-f91491a32513,132,132,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Squire Tuck,Squire Tuck,19472,132,132,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Scott Holmes,Scott Holmes,43ad772e-7a01-4b7f-83c7-64a3dfcc3084,136,131,5,0,0,free-music-archive;laion-disco-12m,free-music-archive,Google;Stability AI,USED_BY
Keshco,Keshco,92228b8c-b851-4a15-b324-cced2f0fb482,126,126,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
johnny_ripper,johnny_ripper,cc6137ce-4ed9-4711-b775-b97c2e53db41,124,124,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Conet Project,The Conet Project,433c0996-077c-4a28-9261-57858eb31832,122,122,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Schemawound,Schemawound,04c0cd87-8f91-436e-99b4-5520a53bfe5e,122,122,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Trans Atlantic Rage,Trans Atlantic Rage,6568f169-e0d9-42ff-bb52-cb2c7dfc0bf9,120,120,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Elvis Herod,Elvis Herod,4c60914a-628f-4483-90fb-a1945863a73f,116,116,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Oblivian Substanshall,Oblivian Substanshall,a94ea428-91a3-40c8-a38e-e05b338937d6,115,115,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Bauchamp,Bauchamp,ee23f53c-45cb-4528-80fd-34d1b61b52eb,143,115,28,0,0,free-music-archive;laion-disco-12m,free-music-archive,Google;Stability AI,USED_BY
RÉGIS VICTOR,RÉGIS VICTOR,8aafd7b5-76df-42cf-bfcf-7e55ee4cf315,113,113,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Circus Marcus,Circus Marcus,97d54a87-7c0f-4306-9cb0-f3b5fb86b7d7,110,110,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
THF Drenching,THF Drenching,5118,108,108,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Disco Missile,Disco Missile,08c34398-d79e-40b8-928f-66f8a518762e,108,108,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Monk Turner,Monk Turner,817ec3ad-7ba2-451f-928b-cb15131cf5b0,105,105,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Telegraphy,Telegraphy,7a85c083-820b-4545-bf3a-5d42a08fc68a,104,104,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
