rank,author,total_books,books3_books,libgen_books,public_domain,affected_by,sued_over
1,Harold Bloom,198,11,187,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
2,R. L. Stine,130,126,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
3,Harry Turtledove,118,96,22,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
4,Isaac Asimov,114,34,80,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
5,Noam Chomsky,113,53,60,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
6,Will Eisner,100,2,98,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
7,Sigmund Freud,83,46,37,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
8,Philip Roth,82,65,17,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
9,Robert Silverberg,71,49,22,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
10,Franz Kafka,58,42,16,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
11,Jacob Neusner,57,5,52,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
12,Walter Mosley,57,50,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
13,Peter David,53,38,15,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
14,Stefan Zweig,49,46,3,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
15,Harry Harrison (writer),47,37,10,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
16,Harlan Ellison,45,36,9,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
17,Jonathan Kellerman,45,33,12,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
18,Paul Auster,45,37,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
19,Faye Kellerman,44,31,13,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
20,David Mamet,40,34,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
21,Julia Quinn,40,26,14,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
22,Harlan Coben,39,31,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
23,Cassandra Clare,38,32,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
24,David Sherman (rabbi),37,22,15,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
25,Hannah Arendt,36,22,14,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
26,Jon Stewart,36,0,36,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
27,Adrienne Rich,35,27,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
28,Susan Sontag,35,29,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
29,"Michael Grant (author, born 1954)",34,29,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
30,Daniel Goleman,33,16,17,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
31,Michael Green (writer),32,7,25,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
32,Albert Einstein,31,10,21,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
33,Ayn Rand,30,19,11,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
34,Howard Zinn,30,18,12,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
35,Jodi Picoult,30,22,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
36,John Brockman (literary agent),30,20,10,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
37,Robert Sheckley,30,26,4,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
38,Jane Yolen,29,26,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
39,David Brin,28,22,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
40,Judy Blume,28,25,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
41,Leo Strauss,28,5,23,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
42,Sidney Sheldon,28,24,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
43,George Steiner,27,18,9,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
44,Judith Butler,27,10,17,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
45,Norman Mailer,27,23,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
46,Tom Stoppard,27,24,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
47,David Gerrold,26,23,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
48,Jonathan Lethem,26,21,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
49,Stephen Jay Gould,26,14,12,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
50,Claude Lévi-Strauss,25,11,14,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
51,Daniel Silva (novelist),25,22,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
52,Fred Skolnik,25,1,24,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
53,Alice Hoffman,24,21,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
54,Erica Jong,24,21,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
55,Nadine Gordimer,24,22,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
56,Sarah J. Maas,24,20,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
57,Saul Bellow,24,19,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
58,Gertrude Stein,23,18,5,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
59,Michael Pollan,23,15,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
60,Michael Rosen (rabbi),23,12,11,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
61,Milton Friedman,23,5,18,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
62,Arthur Miller,22,18,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
63,Elie Wiesel,22,13,9,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
64,Herbert Marcuse,22,11,11,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
65,Robert D. Kaplan,22,15,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
66,Brad Meltzer,21,16,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
67,John Feinstein,21,15,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
