query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
Al Jolson,Al Jolson,5611a8e8-1521-4919-a531-2689bbb57ce4,223,12,191,20,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Alan Vega,Alan Vega,dd720ac8-1c68-4484-abb7-0546413a55e3,47,9,3,35,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Alma Gluck,Alma Gluck,c52f7dab-6e10-4b32-9afe-d694e860c95f,1,1,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Amnon Wolman,Amnon Wolman,c39e10d1-1d3b-4231-814d-8c30208cf5f2,1,1,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Ariel Pink,Ariel Pink,5882e375-503f-4bd2-89b1-967e0bfcb199,233,1,133,96,3,free-music-archive;laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,free-music-archive,Google;Stability AI,USED_BY
Arthur Fields,Arthur Fields,2ecfa8f1-0354-4eb6-af83-6c29c73017b7,16,6,0,10,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Belle Baker,Belle Baker,a47e41af-6d30-4ba9-8e05-969444a93fe9,1,1,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Benjamin Boretz,Benjamin Boretz,709e42ec-8fcf-4f7f-bf3e-5abe9ce8982c,1,1,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Bob Dylan,Bob Dylan,72c536dc-7137-4477-a521-567eeb840fa8,725,1,245,474,5,free-music-archive;laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,free-music-archive,Google;Stability AI,USED_BY
Bruno Walter,Bruno Walter,afa18c9c-85f7-4ecf-a262-c7ce17556212,106,2,97,7,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
