name
2 Live Jews
24kGoldn
A. J. Croce
AC Sapphire
Aaron Beer
Aaron Cometbus
Aaron Copland
Aaron Dessner
Aaron Dworkin
Aaron Goldberg
Aaron Hazzan
Aaron Lewis
Aaron Schroeder
Abate Berihun
Abbe Lane
Abbe Lyons
Abbey Simon
Abdominal (rapper)
Abe Elenkrig
Abel Ehrlich
Abel Meeropol
Abie Rotenberg
Abner Silver
Abraham Baer
Abraham Binder
Abraham Ellstein
Abraham Feinberg
Abraham Goldfaden
Abraham Lopes Cardozo
Abraham Lubin
Abraham Moskowitz
Abraham Zevi Idelsohn
Abram Chasins
Abram Shatskes
Abram Yampolsky
Abramino dall'Arpa
Abramo Basevi
Abramo dall'Arpa
Acid Betty
Action Bronson
Ad-Rock
Adam Abeshouse
Adam Brodsky
Adam Brody
Adam Duritz
Adam Gardner
Adam Goren
Adam Granduciel
Adam Green (musician)
Adam Guettel
Adam Lambert
Adam Levine
Adam Sandler
Adam Schlesinger
Adam Yauch
Adele Marcus
Aderet (singer)
Adi Choir
Adi Ran
Adolf Bernhard Marx
Adolf Robinson
Adolfo Odnoposoff
Adolph Baller
Adolph Brodsky
Adolph Green
Adrienne Cooper
Agi Jambor
Agnes Zimmermann
Ahuva Ozeri
Al Cohn
Al Dubin
Al Goodman
Al Hoffman
Al Jolson
Al Kooper
Al Lewis (lyricist)
Al Sherman
Al Stillman
Alan Jay Lerner
Alan Menken
Alan Myers (drummer)
Alan Rubin
Alan Vega
Alan Weiss (musician)
Alan and Marilyn Bergman
Alana Haim
Alanis Morissette
Albert Gabbai
Albert Hague
Albert Salomon (musician)
Albert Stern (violinist)
Albert Von Tilzer
Alberto Franchetti
Alberto Mizrahi
Aldo Ferraresi
Aldo Finzi (composer)
Alec Benjamin
Alex Band
Alex Clare
Alex Feder
Alex Greenwald
Alex Skolnick
Alexa Swinton
Alexander 23
Alexander Braginsky
Alexander Brailowsky
Alexander Gilman
Alexander Goehr
Alexander Goldenweiser (composer)
Alexander Kipnis
Alexander Knaifel
Alexander Krein
Alexander Melnikov (pianist)
Alexander Mogilevsky
Alexander Mordukhovich
Alexander Olshanetsky
Alexander Rosenbaum
Alexander Schneider
Alexander Smallens
Alexander Uninsky
Alexander Uriah Boskovich
Alexander Veprik
Alexander Zuntz
Alexander von Zemlinsky
Alexandra Silber
Alexandre Rabinovitch-Barakovsky
Alexandre Tansman
Alexis Weissenberg
Alfred Grünfeld
Alfred Hertz
Alfred Mendelsohn
Alfred Schnittke
Alfred Wallenstein
Alice Cohen
Alice Fitoussi
Alice Herz-Sommer
Alicia Jo Rabins
Alicia Svigals
Alisan Porter
Alisha (singer)
Alix Dobkin
Allan Jaffe
Allan Moon
Allan Sherman
Allee Willis
Allie Wrubel
Alma Gluck
Alon De Loco
Alon Eder
Alon Goldstein
Alon Sariel
Alona Tal
Amadeus Quartet
Amal Murkus
Amalie Mauthner
Ames Brothers
