query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
2 Live Jews,,,0,,,,,,,,NONE
24kGoldn,24kGoldn,0fe5df51-ba65-4784-ba85-7d024a107a8a,171,0,86,80,5,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
A. J. Croce,,,0,,,,,,,,NONE
AC Sapphire,Ac Sapphire,7072c899-3db0-44fe-a5f9-d25be5e29abe,10,0,0,10,0,sleeping-disco-9m,,,PRESENT
Aaron Beer,,,0,,,,,,,,NONE
Aaron Cometbus,,,0,,,,,,,,NONE
Aaron Copland,Aaron Copland,aad3af83-5b59-4b86-a569-1a8409149b09,280,0,251,29,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
Aaron Dessner,Aaron Dessner,1890e726-4817-42f4-92e7-ca78bef6692a,70,0,27,43,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
Aaron Dworkin,,,0,,,,,,,,NONE
Aaron Goldberg,Aaron Goldberg,af4dbc51-3262-49b6-afe3-87bca818c2d1,31,0,28,3,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
Aaron Hazzan,,,0,,,,,,,,NONE
Aaron Lewis,Aaron Lewis,86034d1d-f66e-426d-ad52-ca5511a9b428,127,0,86,40,1,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Aaron Schroeder,Aaron Schroeder,44K6HKtvCRseGdtLgnXNpK,3,0,3,0,0,laion-disco-12m,,,PRESENT
Abate Berihun,Abate Berihun,7068d57c-b095-4326-a286-b0d72d618cfb,1,0,1,0,0,laion-disco-12m,,,PRESENT
Abbe Lane,Abbe Lane,33fc9c8f-091a-4b26-9aed-6f7a3283ed36,2,0,2,0,0,laion-disco-12m,,,PRESENT
Abbe Lyons,,,0,,,,,,,,NONE
Abbey Simon,Abbey Simon,c905d45c-831d-4734-abbe-bf059e721a89,159,0,149,10,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
Abdominal (rapper),,,0,,,,,,,,NONE
Abe Elenkrig,,,0,,,,,,,,NONE
Abel Ehrlich,,,0,,,,,,,,NONE
Abel Meeropol,,,0,,,,,,,,NONE
Abie Rotenberg,Abie Rotenberg,80541804-dd82-4478-b319-52f3337ffe63,168,0,158,10,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
Abner Silver,,,0,,,,,,,,NONE
Abraham Baer,,,0,,,,,,,,NONE
Abraham Binder,,,0,,,,,,,,NONE
Abraham Ellstein,Abraham Ellstein,f1ee38d6-742d-44aa-904b-3e21248dfaf6,10,0,10,0,0,laion-disco-12m,,,PRESENT
Abraham Feinberg,,,0,,,,,,,,NONE
Abraham Goldfaden,Abraham Goldfaden,371LaTiYYml8rwKfZL6Q50,1,0,1,0,0,laion-disco-12m,,,PRESENT
Abraham Lopes Cardozo,,,0,,,,,,,,NONE
Abraham Lubin,,,0,,,,,,,,NONE
Abraham Moskowitz,,,0,,,,,,,,NONE
Abraham Zevi Idelsohn,,,0,,,,,,,,NONE
Abram Chasins,Abram Chasins,70c9abee-0489-46b1-a0b9-8ab8ad1b9196,3,0,3,0,0,laion-disco-12m,,,PRESENT
Abram Shatskes,,,0,,,,,,,,NONE
Abram Yampolsky,,,0,,,,,,,,NONE
Abramino dall'Arpa,,,0,,,,,,,,NONE
Abramo Basevi,,,0,,,,,,,,NONE
Abramo dall'Arpa,,,0,,,,,,,,NONE
Acid Betty,Acid Betty,c9c45062-cfd9-4b22-8e6a-256bb51bb64e,1,0,1,0,0,laion-disco-12m,,,PRESENT
Action Bronson,Action Bronson,031bc934-28c9-491a-8648-c078450187dc,391,0,199,191,1,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Ad-Rock,,,0,,,,,,,,NONE
Adam Abeshouse,Adam Abeshouse,0b76b22c-e75e-4c1c-b0b7-c28cc28fde34,1,0,1,0,0,laion-disco-12m,,,PRESENT
Adam Brodsky,,,0,,,,,,,,NONE
Adam Brody,,,0,,,,,,,,NONE
Adam Duritz,Adam Duritz,8a1980a4-0c81-4b0b-8319-15b2175210f6,3,0,0,3,0,sleeping-disco-9m,,,PRESENT
Adam Gardner,,,0,,,,,,,,NONE
Adam Goren,,,0,,,,,,,,NONE
Adam Granduciel,,,0,,,,,,,,NONE
Adam Green (musician),,,0,,,,,,,,NONE
Adam Guettel,Adam Guettel,d913d65e-3e42-4064-85e0-313ac75ad70f,59,0,18,40,1,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Adam Lambert,Adam Lambert,e942594a-91cc-427a-8beb-6815c28e9254,258,0,157,95,6,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Adam Levine,Adam Levine,a1421d73-1a21-484b-97ad-77c9a5676daf,43,0,20,17,6,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Adam Sandler,Adam Sandler,dfc6d0b8-3d0b-4b33-9b3f-dff972e25594,175,0,149,25,1,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Adam Schlesinger,Adam Schlesinger,e0ffedf8-9d47-4e99-a2e5-2fe38996f0f5,4,0,1,3,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
