name,mbid,fma_track_count
OECD,,1119
coll.,,354
National Research Council,,342
et al,,230
PhD,,199
et al.,,184
Jr.,,146
Ph.D.,,146
ICON Health Publications,,145
Icon Health Publications,,134
David,,105
Charles River Editors,,95
John,,88
Michael,,81
Philip M. Parker,,78
World Bank,,76
Institute of Medicine,,75
Peter,,72
Harold Bloom,,70
William Shakespeare,,69
Various,,68
Lonely Planet,,67
Smith,,65
MD,,63
John H. Haynes,,62
Division on Earth and Life Studies,,59
DK,,56
National Academy of Sciences,,56
United Nations,,53
Health Publica Icon Health Publications,,52
Division on Engineering and Physical Sciences,,51
James,,51
Martin,,51
DK Publishing,,50
Robert,,49
Thomas,,49
Lakhmi C. Jain,,47
Rough Guides,,46
MSc,,46
Paul,,45
William,,45
M.D.,,42
IGNOU,,42
Paizo Inc.,,40
FANTOMASPING,,39
Schneider H.,,39
Richard,,38
eds.),,38
Wang,,38
Mark,,37
World Health Organization,,36
Noam Chomsky,,36
Dorling Kindersley,,36
Lee,,36
Nicholas Rescher,,33
Aristotle,,33
The National Locksmith,,32
Inc.,,32
Isaac Asimov,,32
Jones,,31
Scientific American,,31
J.,,31
Plato,,31
Charles,,31
Andrew,,31
CEng,,31
BookSumo Press,,30
Anonymous,,30
Division of Behavioral and Social Sciences and Education,,30
Janusz Kacprzyk,,30
Collective,,30
FRCP,,30
Organization for Economic Cooperation and Development,,29
US Army medical department,,29
Peter Dennis,,28
Daniel,,28
Angus McBride,,28
David Nicolle,,28
Insight Guides,,27
Editors,,27
Taylor,,27
Johnson,,27
Joseph,,27
Oecd Organisation For Economic Co-Operation And Development,,27
Karl Marx,,26
Eric,,26
Microsoft Corporation,,26
Garrett P.,,26
Brualdi R.A.,,26
Williams,,25
Brown,,25
Christopher,,25
Robert J. Howlett,,25
S.,,25
Gordon Rottman,,25
Steven Zaloga,,25
Chris,,24
DK Travel,,24
White,,24
J. Paulo Davim,,24
IBM Redbooks,,24
Policy and Global Affairs,,24
Darwin Porter,,24
Li,,24
Matthew MacDonald,,24
M.,,24
A. Engler,,24
et. al.,,24
Pira International Ltd,,24
Constantine Stephanidis,,23
Angus Konstam,,23
George,,23
Jacob Neusner,,23
Chen,,23
Panos M. Pardalos,,23
Miller,,23
Grzegorz Rozenberg,,23
Stephen,,23
James Patterson,,22
Rick Steves,,22
Burton D. Fisher,,22
National Academy of Engineering,,22
Frank,,22
Harun Yahya,,22
R.,,22
Steve Jackson,,22
BSc,,22
The Economist,,22
Неизв.,,22
Bookboon.com,,22
III,,21
Environment and Resources Commission on Geosciences,,21
Alex,,21
Kaplan,,21
Jonathan,,21
Joaquim Filipe,,21
Scott,,21
Harris,,21
Liu,,21
Inc,,21
Lester Levenson,,20
C. G. Jung,,20
Steven J. Zaloga,,20
Martin Heidegger,,20
Oscar Castillo,,20
etc.,,20
Lewis,,20
Kim,,20
Victor R. Preedy,,20
John G. Webster,,20
Don Greer,,20
Krishnamurti Jiddu,,20
Organisation for Economic Co-Operation and Development,,20
D.Sc.,,20
MA,,20
American Schools of Oriental Research,,20
All authors,,20
Harvard Business Review,,19
Ngoc Thanh Nguyen,,19
Andreas Öchsner,,19
Stephen Turnbull,,19
Anderson,,19
Davis,,19
Philip K. Dick,,19
Patrick,,19
American Water Works Association,,19
Yefim Gordon,,19
SAS Publishing,,19
International Atomic Energy Agency,,19
Danforth Prince,,19
Anna-Teresa Tymieniecka,,19
Cecilia Minden,,19
Eckhart Tolle,,18
Roger,,18
Richard R. Fay,,18
McGraw-Hill,,18
ed.),,18
Tom,,18
Agatha Christie,,18
George W. Ware,,18
auth.),,18
Jacques Derrida,,17
Mark Twain,,17
Alan,,17
Jon Stewart,,17
Friedrich Nietzsche,,17
Linus Pauling,,17
A.,,17
Orson Scott Card,,17
Howard,,17
Ajith Abraham,,17
Simon,,17
Zhang,,17
Evans,,17
Yang,,17
Kumar,,17
Arthur,,17
FRCS,,17
Unknown,,16
Anthony De Mello,,16
Alexander,,16
International Monetary Fund,,16
David Allen Hubbard,,16
Glenn W. Barker,,16
and Medicine Engineering National Academies of Sciences,,16
Austin Sarat,,16
Commission on Engineering and Technical Systems,,16
Phillips,,16
Michel Foucault,,16
Christian,,16
Desiderius Erasmus,,16
ed.,,16
Roland Wagner,,16
Coll.,,16
Moore,,16
Kwang W. Jeon,,16
Green,,16
Brenda Wilmoth Lerner,,16
Jayne Ann Krentz,,16
M. Aizenman,,16
MS,,16
Jo Campling,,16
Matthew,,15
Sigmund Freud,,15
Holm Altenbach,,15
John McArthur,,15
Asian Development Bank,,15
Suresh Chandra Satapathy,,15
Arthur N. Popper,,15
Bertrand Russell,,15
Martin Gardner,,15
WetFeet,,15
James J.,,15
Lawrence Block,,15
Sarah,,15
Jr,,15
Mitchell,,15
Susan,,15
Walter Leal Filho,,15
Neil Gaiman,,15
Ph. D.,,15
Nilanjan Dey,,15
Elizabeth,,15
Barbara,,15
Steve,,15
Singh,,15
Jacob,,15
Stewart,,15
Friedrich,,15
David Pogue,,15
Samuel Kotz,,15
Florentin Smarandache,,15
Sara Pendergast,,15
Novartis Foundation,,15
MBA,,15
Russell Bertrand,,15
Andre Norton,,15
Center of Military History,,15
Springhouse,,15
James Axler,,15
Trishna Knowledge Systems,,15
Yiruma.,,15
American Society of Civil Engineers,,15
DSc,,15
Francis A. Gunther,,15
Joseph E. Stiglitz,,14
unknown author,,14
Guy Hart-Davis,,14
Margherita Antona,,14
DK Eyewitness,,14
Leo Strauss,,14
Committee on National Statistics,,14
Søren Kierkegaard,,14
Jagdish Chand Bansal,,14
Commission on Behavioral and Social Sciences and Education,,14
Laurence T. Yang,,14
Ross,,14
Wilson,,14
Nelson,,14
Helen,,14
Andreas,,14
Oswaal Editorial Board,,14
Osho,,14
M.A.,,14
Britannica Educational Publishing,,14
Peter Russell,,14
Jack Dongarra,,14
Josef Küng,,14
Dov M. Gabbay,,14
Abdelkader Hameurlain,,14
C.,,14
Slavoj Zizek,,14
Samuel,,14
Jenny Dooley,,14
Anthony,,14
Edward,,14
Gray,,14
Steven,,14
Mike Chappell,,14
Jules Janick,,14
Mantak Chia,,14
Learning Express Editors,,14
Peter W. Hawkes,,14
James N. Parker,,14
Jennifer,,14
Princeton Review,,14
Organization for Economic Cooperation & Development,,14
Shakespeare,,14
BS,,14
Anne,,13
Lawrence,,13
Baker,,13
Christopher Hart,,13
Swagatam Das,,13
Subramanian Senthilkannan Muthu,,13
Thomas Cleary,,13
Windy Dryden,,13
unknown,,13
David Miller,,13
Jim Laurier,,13
Eric Lichtfouse,,13
Xin-She Yang,,13
Osvaldo Gervasi,,13
Michael McCarthy,,13
Michael C. Thomsett,,13
David Williams,,13
Tim,,13
Valentina Emilia Balas,,13
Layla Tacy,,13
Morgan,,13
Morris,,13
Bruce,,13
RN,,13
Russell,,13
IEEE,,13
Christopher Negus,,13
Paul McFedries,,13
Ian,,13
Amit Joshi,,13
A Min Tjoa,,13
Terry Pratchett,,13
Ronald Ross Watson,,13
Arto Salomaa,,13
Chittaranjan Kole,,13
Bill,,13
Howard I. Maibach,,13
Virginia Evans,,13
Fisher,,13
Kelly,,13
Will Durant,,13
Campbell,,13
K. Lee Lerner,,13
Barus C.,,13
Tom Pendergast,,13
BPP Learning Media,,13
OECD Organisation for Economic Co-operation and Development,,13
Brualdi R. A.,,13
Mehrmann V.,,13
editors,,13
Hal Marcovitz,,13
Fodor's,,13
Kenneth E Hagin,,13
MPH,,13
Tao Le,,12
Jeremy Black,,12
Frank R. Spellman,,12
Michael Green,,12
Stuart A. Rice,,12
Board on Population Health and Public Health Practice,,12
John Lee,,12
Piers Anthony,,12
Joel R. Beeke,,12
Board on Environmental Studies and Toxicology,,12
Adam Hook,,12
Immanuel Kant,,12
Wood,,12
Mason,,12
Sabu Thomas,,12
Adam,,12
Jean-Luc Nancy,,12
Albert Einstein,,12
Wu,,12
Douglas,,12
William Irwin,,12
Charles Dickens,,12
Moti Yung,,12
Jeng-Shyang Pan,,12
Robinson,,12
Editor,,12
Jack W. Plunkett,,12
Rogers,,12
M.Sc.,,12
Ken,,12
Walker,,12
Immanuel Wallerstein,,12
eds.,,12
David James,,12
Gupta,,12
Hall,,12
Philip Arestis,,12
Colin,,12
K.,,12
H.,,12
Mike,,12
Harry Turtledove,,12
G.,,12
Author Unknown,,12
Michiel Steyaert,,12
Gerry Embleton,,12
Patrick Forsyth,,12
Hugo Kubinyi,,12
Richard P. Feynman,,12
Francois Verlinden,,12
Anne Mather,,12
Barrie Pitt,,12
Sushil Jajodia,,12
Research Group,,12
Anne McCaffrey,,12
Tai-hoon Kim,,12
Oxford University Press,,12
Walter Stromquist,,12
Sabrina Jeffries,,12
James Stanier Clarke,,12
Adams,,12
Editors of Adams Media,,12
C.Eng.,,12
Walter Scott,,11
Alain Badiou,,11
Thomas Hardy,,11
Carla Mooney,,11
Danielle Steel,,11
Charles Darwin,,11
Jason,,11
Cary L. Cooper,,11
Nigel Thomas,,11
Zondervan,,11
Giorgio Agamben,,11
John Taylor,,11
Robert J. Sternberg,,11
Robert Maddox,,11
Jean-Paul Sartre,,11
Pierre Bourdieu,,11
James Stewart,,11
David Brown,,11
Mike Stubblefield,,11
Herbert Schildt,,11
Aboul Ella Hassanien,,11
Mari Silva,,11
Sam,,11
Rudolf Steiner,,11
Zahir Tari,,11
Manfred Broy,,11
Philip,,11
Stephen White,,11
John Boardman,,11
Stephen King,,11
Julian Wolfreys,,11
ed. Dexter Chua,,11
Kennedy,,11
Álvaro Rocha,,11
Luis M. Camarinha-Matos,,11
Bart Preneel,,11
Ahmed,,11
John Paul Mueller,,11
N. Balakrishnan,,11
Petra Perner,,11
David Taniar,,11
Nancy C. Muir,,11
Hill,,11
Brian,,11
Peter Smith,,11
Jain,,11
Hughes,,11
Jean,,11
