rank,channel,total_clips,affected_by,sued_over
1,Team Coco,3842,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
2,TeluguOne,2608,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
3,Kritter Klub,1952,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
4,Dr. Eric Berg DC,1026,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
5,Scotty Kilmer,1013,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6,The Young Turks,969,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
7,Taras Kul,951,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
8,Specific,896,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
9,Donut,893,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
10,HeyUGuys,833,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
11,Safari Chey,816,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
12,CrazyRussianHacker,816,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
13,Did You Know ?,797,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
14,Rick Steves' Europe,796,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
15,hollywoodstreams,778,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
16,Hoonigan,744,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
17,Screen Rant,743,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
18,ANNnewsCH,726,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
19,MotorWeek,712,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
20,Active Self Protection,695,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
21,Montreal Gazette,694,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22,TMZ,693,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
23,AFP,691,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
24,Custom Offsets,654,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
25,TecMundo,638,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
26,Good Morning Britain,628,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
27,Larva TUBA,625,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
28,CrashCourse,603,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
29,Mark Wiens,598,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
30,Looper,597,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
31,Pencilmation,593,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
32,Austin Evans,589,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
33,Unitel Bolivia,579,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
34,Emergency Awesome,576,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
35,ETV Jabardasth,567,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
36,Unbox Therapy,562,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
37,The Wall Street Journal,560,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
38,Howcast,550,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
39,Smosh,549,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
40,Lou Costabile,544,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
41,Simply Scuba,524,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
42,superspeedersRob,522,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
43,WildBrain Niños,518,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
44,Insane Curiosity,502,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
45,Rotten Tomatoes Coming Soon,500,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
46,Conan O'Brien,497,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
47,Jermaine Ellis (901cali),497,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
48,Origins Explained,496,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
49,Hardware Unboxed,495,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
50,PD,494,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
51,Rooster Teeth,492,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
52,Team Edge,489,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
53,BeanymanSports,476,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
54,Google for Developers,474,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
55,Brendan van Son,470,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
56,YRF,463,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
57,Adam Savage’s Tested,462,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
58,Zoo Land,458,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
59,Tuitealo,435,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
60,Telemundo Deportes,434,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
61,Dope,416,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
62,Big Think,410,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
63,JayPrehistoricPets,407,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
64,Udacity,405,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
65,TPS,397,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
66,Ligue 1 McDonald’s,395,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
67,Troom Troom,394,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
68,Good Morning America,392,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
69,eltrece,392,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
70,Inside Edition,388,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
71,Moviefone,387,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
72,Avocado Couple I Crazy Comics,374,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
73,Did You Know Animals ?,369,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
74,Bitwit,365,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
75,Fifth Gear,365,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
76,RevZilla,365,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
77,Unisport,364,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
78,Engineering Explained,356,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
79,The Denver Post,355,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
80,Rumble Viral,352,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
81,Multishow,351,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
82,Dan Lok,349,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
83,Top 10s,348,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
84,SuperSaf,345,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
85,Kamp Kenan,344,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
86,TomoNews US,344,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
87,backofficeshow,338,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
88,CNET Cars,335,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
89,PragerU,333,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
