rank,channel,total_clips,channel_type
1,Channels Television,6206,company/brand
2,KCAL News,5149,company/brand
3,MLB,4600,company/brand
4,11Alive,3955,company/brand
5,TEDx Talks,3847,company/brand
6,Team Coco,3842,individual
7,ESPN,3412,company/brand
8,Bloomberg Technology,3008,company/brand
9,Fox Business,2994,company/brand
10,FOX 5 Atlanta,2768,company/brand
11,Movieclips,2615,company/brand
12,TeluguOne,2608,individual
13,KING 5 Seattle,2599,company/brand
14,KGW News,2544,company/brand
15,KENS 5: Your San Antonio News Source,2496,company/brand
16,12 News,2318,company/brand
17,Al Jazeera English,2310,company/brand
18,The Daily Show,2279,company/brand
19,NBC2 News,2271,company/brand
20,Citizen TV Kenya,2239,company/brand
21,Rotten Tomatoes Trailers,2047,company/brand
22,Kritter Klub,1952,individual
23,CGTN America,1921,company/brand
24,WUSA9,1921,company/brand
25,Fox News,1864,company/brand
26,LEGO,1776,company/brand
27,Comedy Central,1611,company/brand
28,David Pakman Show,1593,company/brand
29,Entertainment Tonight,1501,company/brand
30,Engadget,1469,company/brand
31,KSDK News,1429,company/brand
32,Linus Tech Tips,1382,company/brand
33,EBSDocumentary (EBS 다큐),1349,company/brand
34,WWLP-22News,1331,company/brand
35,BRIGHT SIDE,1298,company/brand
36,NFL,1296,company/brand
37,MotorTrend Channel,1270,company/brand
38,Geekyranjit,1177,company/brand
39,WXYZ-TV Detroit | Channel 7,1142,company/brand
40,TRT World,1131,company/brand
41,WatchMojo.com,1116,company/brand
42,ABC Action News,1113,company/brand
43,KSHB 41,1096,company/brand
44,WPTV News - FL Palm Beaches and Treasure Coast,1083,company/brand
45,Seeker,1078,company/brand
46,WPRI,1031,company/brand
47,The Infographics Show,1028,company/brand
48,Dr. Eric Berg DC,1026,individual
49,Scotty Kilmer,1013,individual
50,ABC15 Arizona,986,company/brand
51,The Young Turks,969,individual
52,Taras Kul,951,individual
53,POWERNATION,934,company/brand
54,CBC News,929,company/brand
55,FOX 4 Dallas-Fort Worth,917,company/brand
56,Specific,896,individual
57,Donut,893,individual
58,CGTN,868,company/brand
59,HeyUGuys,833,individual
60,WCPO 9,829,company/brand
61,SPORTSNET,827,company/brand
62,CGTN Africa,823,company/brand
63,Safari Chey,816,individual
64,CrazyRussianHacker,816,individual
65,Splash News,806,company/brand
66,Did You Know ?,797,individual
67,Rick Steves' Europe,796,individual
68,HN Entertainment,795,company/brand
69,ABC News,792,company/brand
70,Peppa Pig - Official Channel,782,company/brand
71,ABC 10 News,780,company/brand
72,NewsChannel 5,779,company/brand
73,hollywoodstreams,778,individual
74,CNA Insider,761,company/brand
75,WRTV Indianapolis,758,company/brand
76,Hoonigan,744,individual
77,Screen Rant,743,individual
78,ANNnewsCH,726,individual
79,Power Rangers Official,723,company/brand
80,ONE Media,715,company/brand
81,MotorWeek,712,individual
82,Football News,710,company/brand
83,New Trailer Buzz,702,company/brand
84,MBC Sports+,695,company/brand
85,Active Self Protection,695,individual
86,Montreal Gazette,694,individual
87,TMZ,693,individual
88,KXAN,693,company/brand
89,AFP,691,individual
90,KPRC 2 Click2Houston,683,company/brand
91,Law&Crime Network,677,company/brand
92,Chotoonz TV - Funny Cartoons for Kids,676,company/brand
93,TIME,660,company/brand
94,Custom Offsets,654,individual
95,TecMundo,638,individual
96,SBS STORY,630,company/brand
97,World Rugby,629,company/brand
98,Good Morning Britain,628,individual
99,Sportsbook Review,628,company/brand
100,News 5 Cleveland,627,company/brand
101,Larva TUBA,625,individual
102,NASA,625,company/brand
103,KJRH -TV | Tulsa | Channel 2,612,company/brand
104,WPLG Local 10,604,company/brand
105,CrashCourse,603,individual
106,LET ME KNOW,601,company/brand
107,WCCO - CBS Minnesota,601,company/brand
108,Mark Wiens,598,individual
109,Looper,597,individual
110,Pencilmation,593,individual
111,CBS Boston,591,company/brand
112,Austin Evans,589,individual
113,Unitel Bolivia,579,individual
114,Emergency Awesome,576,individual
115,DW News,568,company/brand
116,ETV Jabardasth,567,individual
117,Unbox Therapy,562,individual
118,WTHR,562,company/brand
119,Scripps News,562,company/brand
120,The Wall Street Journal,560,individual
121,CNET,554,company/brand
122,Howcast,550,individual
123,Smosh,549,individual
124,AFP News Agency,548,company/brand
125,Lou Costabile,544,individual
126,WMAR-2 News,542,company/brand
127,23 ABC News | KERO,533,company/brand
128,Chef Ricardo Cooking,528,company/brand
129,Simply Scuba,524,individual
130,9NEWS,523,company/brand
131,superspeedersRob,522,individual
132,WildBrain Niños,518,individual
133,1A Auto: Repair Tips & Secrets Only Mechanics Know,517,company/brand
134,BBC Earth,517,company/brand
135,Hindustan Times,514,company/brand
136,WatchMojo Español,514,company/brand
137,Dave2D,511,company/brand
138,Drive.com.au,509,company/brand
139,The Verge,505,company/brand
140,Insane Curiosity,502,individual
141,Rotten Tomatoes Coming Soon,500,individual
142,MSNBC,500,company/brand
143,Conan O'Brien,497,individual
144,Jermaine Ellis (901cali),497,individual
145,Origins Explained,496,individual
146,Hardware Unboxed,495,individual
147,Los Angeles Times,495,company/brand
148,PD,494,individual
149,Rooster Teeth,492,individual
150,Team Edge,489,individual
151,BeanymanSports,476,individual
152,Google for Developers,474,individual
153,Brendan van Son,470,individual
154,KBS여행 걸어서 세계속으로,465,company/brand
155,KPIX | CBS NEWS BAY AREA,464,company/brand
156,YRF,463,individual
157,Adam Savage’s Tested,462,individual
158,Art for Kids Hub,461,company/brand
159,Zoo Land,458,individual
160,Global Cycling Network,456,company/brand
161,Republic World,455,company/brand
162,CBC News: The National,450,company/brand
163,Tuitealo,435,individual
164,Telemundo Deportes,434,individual
165,ONE Media Coverage,433,company/brand
166,Primrose Kitten Academy | GCSE & A-Level Revision,429,company/brand
167,Hallmark Channel,426,company/brand
168,VICE News,424,company/brand
169,Jovem Pan News,419,company/brand
170,DC Kids,417,company/brand
171,Dope,416,individual
172,KMTV 3 News Now,415,company/brand
173,Fight Network,413,company/brand
174,Big Think,410,individual
175,JayPrehistoricPets,407,individual
176,Udacity,405,individual
177,KTN News Kenya,404,company/brand
178,REACT,402,company/brand
179,TED-Ed,400,company/brand
180,TPS,397,individual
181,JRE Clips,396,company/brand
182,Ligue 1 McDonald’s,395,individual
183,Troom Troom,394,individual
184,Good Morning America,392,individual
185,eltrece,392,individual
186,India Today,391,company/brand
187,Inside Edition,388,individual
188,Moviefone,387,individual
189,Samuel and Audrey - Travel and Food Videos,384,company/brand
190,Chigz Tech Reviews,377,company/brand
191,AGENCIA EFE,375,company/brand
192,Avocado Couple I Crazy Comics,374,individual
193,IrixGuy's Adventure Channel,374,company/brand
194,LOCAL 12,374,company/brand
195,WFLA News Channel 8,370,company/brand
196,Did You Know Animals ?,369,individual
197,SABC News,367,company/brand
198,Bitwit,365,individual
199,Fifth Gear,365,individual
200,RevZilla,365,individual
201,Unisport,364,individual
202,b/60,358,company/brand
203,Engineering Explained,356,individual
204,Dan Patrick Show,356,company/brand
205,The Denver Post,355,individual
206,Rumble Viral,352,individual
207,Multishow,351,individual
208,Oddbods - Official Channel,350,company/brand
209,TKOR,350,company/brand
210,Dan Lok,349,individual
211,Bloomberg Television,349,company/brand
212,Top 10s,348,individual
213,On Demand News,348,company/brand
214,SuperSaf,345,individual
215,Kamp Kenan,344,individual
216,Rangers Football Club (Official),344,company/brand
217,TomoNews US,344,individual
218,backofficeshow,338,individual
219,CNET Cars,335,individual
220,PragerU,333,individual
221,FTD Facts,329,individual
222,The Try Guys,329,individual
223,iJustine,328,individual
224,RCSparks Studio,328,company/brand
225,DW Deutsch,327,individual
226,NBC News,327,company/brand
227,4 Ever Green,326,company/brand
228,Patrick Wieland,325,individual
229,Emma and Ellie's Family,324,company/brand
230,List 25,324,individual
231,WION,323,company/brand
232,Sanjeev Kapoor Khazana,321,individual
233,Valuetainment,319,individual
234,TODAY,319,company/brand
