rank,artist,tracks_used_by_ai,used_by,musicbrainz_id,identifiable,strength
1,Podington Bear,586,Google; Stability AI,2c15f704-d0f3-4175-80c4-97f395ad7d9a,Yes,STRONG
2,Kosta T,551,Google; Stability AI,15891,Yes,STRONG
3,Ergo Phizmiz,519,Google; Stability AI,8a0194ad-6b24-448b-a069-5e7baf2eb1dd,Yes,STRONG
4,Blue Dot Sessions,410,Google; Stability AI,57d8f0d0-146c-442b-91db-bed873223d1a,Yes,STRONG
5,Lee Rosevere,368,Google; Stability AI,fff239d3-b78a-4c2c-9e05-d8b08857149b,Yes,STRONG
6,Jahzzar,329,Google; Stability AI,0536f3c2-5484-47c4-b05c-bd30692f4e48,Yes,STRONG
7,James Kibbie,319,Google; Stability AI,437c5876-f406-45be-a3cc-e76d244ee497,Yes,STRONG
8,Mr. & Mrs. Smith,317,Google; Stability AI,6647a26b-bd94-4bc7-8769-7b1e7207a824,Yes,STRONG
9,Ars Sonor,294,Google; Stability AI,87fdd785-3c3e-439f-973f-8c6d4d5f5421,Yes,STRONG
10,Zreen Toyz,281,Google; Stability AI,ec0abf48-cfc5-46ce-8365-295444ce7c5b,Yes,STRONG
11,Jared C. Balogh,262,Google; Stability AI,4257066d-6f3e-4226-9143-5b8a9ae17b84,Yes,STRONG
12,Steve Combs,257,Google; Stability AI,ee04b05d-7190-4723-ba3d-368038478306,Yes,STRONG
13,Derek Clegg,256,Google; Stability AI,9243d9f4-c18e-4422-bd3f-98ca6295f9b9,Yes,STRONG
14,Lezet,249,Google; Stability AI,435440ed-3592-46ed-b31f-ec9939890462,Yes,STRONG
15,Josh Woodward,244,Google; Stability AI,b09c8a50-7bfa-434f-a2cf-f9bf9f6f91a5,Yes,STRONG
16,OsO El roTo,226,Google; Stability AI,4352,Yes,STRONG
17,The Agrarians,223,Google; Stability AI,44d34e0d-3679-40c8-b141-2f39321eb2e2,Yes,STRONG
18,The Fucked Up Beat,219,Google; Stability AI,241a05f8-8576-41fd-ac0a-442ddec2c20b,Yes,STRONG
19,The Impossebulls,205,Google; Stability AI,b034e706-419a-42a5-87fc-fa843ac31be2,Yes,STRONG
20,Tha Silent Partner,190,Google; Stability AI,d047a1fe-3f8b-45ff-92f5-855ff37c9658,Yes,STRONG
21,The Polish Ambassador,185,Google; Stability AI,e9787dd2-5857-4b51-8e59-a190a54820fc,Yes,STRONG
22,Monplaisir,184,Google; Stability AI,22472,Yes,STRONG
23,Ketsa,180,Google; Stability AI,6443,Yes,STRONG
24,Salakapakka Sound System,171,Google; Stability AI,becb76ae-627c-40a4-8cda-d339d21ad6d8,Yes,STRONG
25,Glass Boy,170,Google; Stability AI,0afadbf0-507e-43fe-8bfc-4c0afaec35cb,Yes,STRONG
26,Anitek,170,Google; Stability AI,a1630b32-a887-46fb-9c4c-6aae56d492a4,Yes,STRONG
27,Cheese N Pot-C,167,Google; Stability AI,6bf7f09a-829e-439c-9505-3a5bcd48c61f,Yes,STRONG
28,jonas the plugexpert,164,Google; Stability AI,5965,Yes,STRONG
29,Lobo Loco,161,Google; Stability AI,37dd2973-d750-48aa-9557-64652fcf7d32,Yes,STRONG
30,David Szesztay,158,Google; Stability AI,21616,Yes,STRONG
31,Nonima,156,Google; Stability AI,ac20cd1c-6c0f-4b7f-993c-11d0de3aa4aa,Yes,STRONG
32,Jaan Patterson,155,Google; Stability AI,802b2906-81b7-4940-8f7e-e99164d12634,Yes,STRONG
33,Big Blood,153,Google; Stability AI,63c5e98c-0b24-4939-ad8c-f6ed235b7980,Yes,STRONG
34,Phemale,153,Google; Stability AI,960ebb62-9209-462e-a763-d70c2cb7e073,Yes,STRONG
35,U Can Unlearn Guitar,149,Google; Stability AI,e1e670dd-9589-4699-a721-469cee925c14,Yes,STRONG
36,Kevin MacLeod,148,Google; Stability AI,8292bf44-2dd1-4bad-8019-276ec38f28e7,Yes,STRONG
37,simon_mathewson,147,Google; Stability AI,e4c8f501-3c76-4c81-a5c0-e50686d7c298,Yes,STRONG
38,Kai Engel,140,Google; Stability AI,aa55b20b-36d8-4093-84f3-c5c7942ff2c8,Yes,STRONG
39,Mittimus,138,Google; Stability AI,1640,Yes,STRONG
40,Cullah,135,Google; Stability AI,369b127b-ca39-4618-88f6-132f1bc8a27f,Yes,STRONG
41,Richard Jonas,132,Google; Stability AI,5ef5b8ec-98df-496f-b8d1-f91491a32513,Yes,STRONG
42,Squire Tuck,132,Google; Stability AI,19472,Yes,STRONG
43,Scott Holmes,131,Google; Stability AI,43ad772e-7a01-4b7f-83c7-64a3dfcc3084,Yes,STRONG
44,Keshco,126,Google; Stability AI,92228b8c-b851-4a15-b324-cced2f0fb482,Yes,STRONG
45,johnny_ripper,124,Google; Stability AI,cc6137ce-4ed9-4711-b775-b97c2e53db41,Yes,STRONG
46,The Conet Project,122,Google; Stability AI,433c0996-077c-4a28-9261-57858eb31832,Yes,STRONG
47,Schemawound,122,Google; Stability AI,04c0cd87-8f91-436e-99b4-5520a53bfe5e,Yes,STRONG
48,Trans Atlantic Rage,120,Google; Stability AI,6568f169-e0d9-42ff-bb52-cb2c7dfc0bf9,Yes,STRONG
49,Elvis Herod,116,Google; Stability AI,4c60914a-628f-4483-90fb-a1945863a73f,Yes,STRONG
50,Oblivian Substanshall,115,Google; Stability AI,a94ea428-91a3-40c8-a38e-e05b338937d6,Yes,STRONG
51,Bauchamp,115,Google; Stability AI,ee23f53c-45cb-4528-80fd-34d1b61b52eb,Yes,STRONG
52,RÉGIS VICTOR,113,Google; Stability AI,8aafd7b5-76df-42cf-bfcf-7e55ee4cf315,Yes,STRONG
53,Circus Marcus,110,Google; Stability AI,97d54a87-7c0f-4306-9cb0-f3b5fb86b7d7,Yes,STRONG
54,THF Drenching,108,Google; Stability AI,5118,Yes,STRONG
55,Disco Missile,108,Google; Stability AI,08c34398-d79e-40b8-928f-66f8a518762e,Yes,STRONG
56,Monk Turner,105,Google; Stability AI,817ec3ad-7ba2-451f-928b-cb15131cf5b0,Yes,STRONG
57,Telegraphy,104,Google; Stability AI,7a85c083-820b-4545-bf3a-5d42a08fc68a,Yes,STRONG
58,Learning Music,103,Google; Stability AI,ff901e96-122d-4623-90f8-926cf8bae13c,Yes,STRONG
59,CM aka Creative,102,Google; Stability AI,6fcdc0f1-ddd6-4adc-95be-adcd55a4166f,Yes,STRONG
60,Section 27 Netlabel,99,Google; Stability AI,8563,Yes,STRONG
61,ODOR BABY,99,Google; Stability AI,64c2e7b7-9447-4c80-9ac5-871e625d4ada,Yes,STRONG
62,Benjamin Bret,99,Google; Stability AI,7290,Yes,STRONG
63,Welcome Wizard,97,Google; Stability AI,2226,Yes,STRONG
64,junior85,97,Google; Stability AI,3dc6e2c0-2d8b-45b8-a7be-5b8f2ec4ed59,Yes,STRONG
65,K. Sparks,97,Google; Stability AI,ac7b11e9-b6c9-446a-8147-bf0c2c451810,Yes,STRONG
66,Fortyone,96,Google; Stability AI,975e9cd1-247d-4e21-b5b6-94b6551c601d,Yes,STRONG
67,The Scallions,96,Google; Stability AI,fc9df9c2-fb04-4804-b4e3-2efd01d6723a,Yes,STRONG
68,Chris Zabriskie,96,Google; Stability AI,cd661c5c-c9ce-42ff-83f8-7b1dd1515d64,Yes,STRONG
69,Cosmic Analog Ensemble,95,Google; Stability AI,e05a9d5c-1fb1-4652-8b54-d0c97add6b94,Yes,STRONG
70,Alaclair Ensemble,94,Google; Stability AI,885ed00a-34ba-4139-bcfc-5065f6270726,Yes,STRONG
71,Bryan Lewis Saunders,94,Google; Stability AI,6c789bd8-cc7d-4445-b068-11e1930c8875,Yes,STRONG
72,Nicky Cook,93,Google; Stability AI,bf670de5-ad6a-4ac0-9068-184dedf351ef,Yes,STRONG
73,Obits,93,Google; Stability AI,b6c82c04-f1b4-41a6-ae15-a64a96d1e6c4,Yes,STRONG
74,Thiaz Itch,91,Google; Stability AI,7a6baf0c-04c3-4693-867a-bd3a6481e26d,Yes,STRONG
75,R. Stevie Moore,89,Google; Stability AI,6ac67c73-2833-4af3-b2e7-3bec5a7e3f85,Yes,STRONG
76,Krackatoa,89,Google; Stability AI,438f04dc-41ea-4de9-9d56-fc845b52d0c1,Yes,STRONG
77,Ketsa,89,Google; Stability AI,fa62a309-ae21-48ea-b1df-ff7e4893a986,Yes,STRONG
78,Future Sauce,88,Google; Stability AI,19799,Yes,STRONG
79,+HIRS+,88,Google; Stability AI,d98ae071-e23d-4058-b2ed-e136d2c1b593,Yes,STRONG
80,mr&mrsBrian,87,Google; Stability AI,17bc61cf-62cd-43a2-b8a3-a988aa6e34c3,Yes,STRONG
81,POVALISHIN DIVISION,87,Google; Stability AI,000b33e6-1479-4b95-8202-d4d838519164,Yes,STRONG
82,Clinical Archives Mix,87,Google; Stability AI,10117,Yes,STRONG
83,C-Doc,87,Google; Stability AI,a3370c9f-3fdf-4d9a-bb74-e8ec7d4f1957,Yes,STRONG
84,Asian Women on the Telephone,86,Google; Stability AI,a5eb9bd0-c49f-4d6f-8045-402dcc836471,Yes,STRONG
85,Roger McGuinn,85,Google; Stability AI,6ec7336b-a56a-4b5d-bcec-575d2b8ed4e1,Yes,STRONG
86,Kevin Bryce,85,Google; Stability AI,88926e80-80bc-49fe-853e-4fd74be68c70,Yes,STRONG
87,Tusk Lord,84,Google; Stability AI,225ac73d-1060-4d37-a7ca-4a39725cc41d,Yes,STRONG
88,The New Mystikal Troubadours,84,Google; Stability AI,7ca79c47-0c3c-46bb-aa8e-0bc32ce29114,Yes,STRONG
89,Kellee Maize,83,Google; Stability AI,0a67d138-8cd0-49f9-94f6-e65826f1a8ab,Yes,STRONG
90,Lucky Dragons,82,Google; Stability AI,0654393d-253f-4a4d-a7e0-fbc799152930,Yes,STRONG
91,Castello di Trokai,82,Google; Stability AI,19030,Yes,STRONG
92,The Hathaway Family Plot,81,Google; Stability AI,7e8c21e1-f7a1-463b-ab09-11f5acc35b74,Yes,STRONG
93,Pk Jazz Collective,80,Google; Stability AI,8f8db5c9-8887-4922-af35-4b6bbe0ccfc4,Yes,STRONG
94,ROZKOL,80,Google; Stability AI,42ec9891-45d4-4658-ba8b-ca072e4b5b25,Yes,STRONG
