rank,name,mbid,fma_track_count,used_by_dataset,used_by_companies,flag
1,Podington Bear,2c15f704-d0f3-4175-80c4-97f395ad7d9a,586,free-music-archive,Google;Stability AI,USED_BY
2,Kosta T,15891,551,free-music-archive,Google;Stability AI,USED_BY
3,Ergo Phizmiz,8a0194ad-6b24-448b-a069-5e7baf2eb1dd,519,free-music-archive,Google;Stability AI,USED_BY
4,Blue Dot Sessions,57d8f0d0-146c-442b-91db-bed873223d1a,410,free-music-archive,Google;Stability AI,USED_BY
5,Lee Rosevere,fff239d3-b78a-4c2c-9e05-d8b08857149b,368,free-music-archive,Google;Stability AI,USED_BY
6,Jahzzar,0536f3c2-5484-47c4-b05c-bd30692f4e48,329,free-music-archive,Google;Stability AI,USED_BY
7,James Kibbie,437c5876-f406-45be-a3cc-e76d244ee497,319,free-music-archive,Google;Stability AI,USED_BY
8,Mr. & Mrs. Smith,6647a26b-bd94-4bc7-8769-7b1e7207a824,317,free-music-archive,Google;Stability AI,USED_BY
9,Ars Sonor,87fdd785-3c3e-439f-973f-8c6d4d5f5421,294,free-music-archive,Google;Stability AI,USED_BY
10,Zreen Toyz,ec0abf48-cfc5-46ce-8365-295444ce7c5b,281,free-music-archive,Google;Stability AI,USED_BY
11,Jared C. Balogh,4257066d-6f3e-4226-9143-5b8a9ae17b84,262,free-music-archive,Google;Stability AI,USED_BY
12,Steve Combs,ee04b05d-7190-4723-ba3d-368038478306,257,free-music-archive,Google;Stability AI,USED_BY
13,Derek Clegg,9243d9f4-c18e-4422-bd3f-98ca6295f9b9,256,free-music-archive,Google;Stability AI,USED_BY
14,Lezet,435440ed-3592-46ed-b31f-ec9939890462,249,free-music-archive,Google;Stability AI,USED_BY
15,Josh Woodward,b09c8a50-7bfa-434f-a2cf-f9bf9f6f91a5,244,free-music-archive,Google;Stability AI,USED_BY
16,OsO El roTo,4352,226,free-music-archive,Google;Stability AI,USED_BY
17,The Agrarians,44d34e0d-3679-40c8-b141-2f39321eb2e2,223,free-music-archive,Google;Stability AI,USED_BY
18,The Fucked Up Beat,241a05f8-8576-41fd-ac0a-442ddec2c20b,219,free-music-archive,Google;Stability AI,USED_BY
19,The Impossebulls,b034e706-419a-42a5-87fc-fa843ac31be2,205,free-music-archive,Google;Stability AI,USED_BY
20,Tha Silent Partner,d047a1fe-3f8b-45ff-92f5-855ff37c9658,190,free-music-archive,Google;Stability AI,USED_BY
21,The Polish Ambassador,e9787dd2-5857-4b51-8e59-a190a54820fc,185,free-music-archive,Google;Stability AI,USED_BY
22,Monplaisir,22472,184,free-music-archive,Google;Stability AI,USED_BY
23,Ketsa,6443,180,free-music-archive,Google;Stability AI,USED_BY
24,Salakapakka Sound System,becb76ae-627c-40a4-8cda-d339d21ad6d8,171,free-music-archive,Google;Stability AI,USED_BY
25,Glass Boy,0afadbf0-507e-43fe-8bfc-4c0afaec35cb,170,free-music-archive,Google;Stability AI,USED_BY
26,Anitek,a1630b32-a887-46fb-9c4c-6aae56d492a4,170,free-music-archive,Google;Stability AI,USED_BY
