query_name,matched_name,creator_id,total_results,count__runway-jupiter,count__yttemporal-180m,count__internvid,count__panda70m,count__hdvila100m,count__koala36m,count__howto100m,count__hdvg130m,count__openvid1m,count__vidgen1m,count__youtube8m,present_datasets,used_by_datasets,used_by_companies,flag
FIG Channel,FIG Channel,,15255,15125,0,91,0,0,0,0,0,0,0,39,internvid;runway-jupiter;youtube8m,internvid;runway-jupiter,ByteDance;Runway;Stability AI,USED_BY
MLB,MLB,,92435,12065,31945,459,16741,16732,1,35,11003,0,3175,279,hdvg130m;hdvila100m;howto100m;internvid;koala36m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Meta;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
KBS WORLD TV,KBS WORLD TV,,19009,11753,3404,541,1093,1074,3,33,677,0,203,228,hdvg130m;hdvila100m;howto100m;internvid;koala36m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Meta;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
WBIR Channel 10,WBIR Channel 10,,12013,11918,2,89,2,0,0,2,0,0,0,0,howto100m;internvid;panda70m;runway-jupiter;yttemporal-180m,internvid;runway-jupiter;yttemporal-180m,Allen Institute for AI;ByteDance;Runway;Stability AI;University of Washington,USED_BY
1theK (원더케이),1theK (원더케이),,15472,14821,13,428,24,2,1,22,1,4,0,156,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
CBS New York,CBS New York,,11668,10372,116,628,167,56,54,156,38,26,7,48,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
PlayStation,PlayStation,,14816,14130,58,123,99,98,82,1,62,22,9,132,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
NHL,NHL,,14507,14115,2,66,2,1,0,1,1,0,1,318,hdvg130m;hdvila100m;howto100m;internvid;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Meta;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
World Rugby,World Rugby,,11046,7079,1168,195,641,642,581,2,402,74,104,158,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
NBA,NBA,,14787,13825,70,340,1,0,0,1,0,0,0,550,howto100m;internvid;panda70m;runway-jupiter;youtube8m;yttemporal-180m,internvid;runway-jupiter;yttemporal-180m,Allen Institute for AI;ByteDance;Runway;Stability AI;University of Washington,USED_BY
CBC Sports,CBC Sports,,7989,6890,320,31,193,193,159,0,127,52,23,1,hdvg130m;hdvila100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
wikiHow,wikiHow,,12308,12060,1,239,4,0,0,4,0,0,0,0,howto100m;internvid;panda70m;runway-jupiter;yttemporal-180m,internvid;runway-jupiter;yttemporal-180m,Allen Institute for AI;ByteDance;Runway;Stability AI;University of Washington,USED_BY
Eurosport,Eurosport,,6179,5635,157,30,95,95,67,1,58,22,16,3,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
FOX,FOX,,7518,5719,1178,7,205,205,1,1,132,56,0,14,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
KinoCheck.com,KinoCheck.com,,6860,4987,1046,34,235,234,129,1,157,22,10,5,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
ONE Media,ONE Media,,9206,5586,1054,17,876,890,143,0,581,14,37,8,hdvg130m;hdvila100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
Olympics,Olympics,,11569,10132,114,916,79,75,0,5,41,0,15,192,hdvg130m;hdvila100m;howto100m;internvid;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Meta;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
IBJJF (International Brazilian Jiu-Jitsu Federation),IBJJF (International Brazilian Jiu-Jitsu Federation),,10326,10129,62,3,30,30,30,0,22,0,11,9,hdvg130m;hdvila100m;internvid;koala36m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Meta;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
Skating ISU,Skating ISU,,5362,4987,135,65,64,64,4,0,29,0,2,12,hdvg130m;hdvila100m;internvid;koala36m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Meta;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
Global Cycling Network,Global Cycling Network,,11937,5846,1435,307,1050,887,837,312,551,414,182,116,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
Entertainment Access,Entertainment Access,,6769,4766,1000,21,267,266,179,3,171,60,36,0,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;vidgen1m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;vidgen1m;yttemporal-180m,Allen Institute for AI;Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent;University of Washington,USED_BY
